"Негосударственное образовательное учреждение Высшее профессиональное образование ""Сергиево-Посадский гуманитарный институт""";Организация инновационного межвузовского завода-лаборатории для производственной практики студентов;Российский Союз Молодежи;2
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;«Герои современной России»;Общество «Знание» России;216
"Алтайская краевая молодежная общественная организация ""Лига студентов АГУ""";"""Интернациональный студенческий многопрофильный отряд Алтайского края"" (проведение обучающих мастер-классов, культурно-творческих мероприятий, тематических акций и т.д.).";Национальный благотворительный фонд;220
Орловская областная молодёжная общественная организация «Военно-патриотический клуб «ОРЁЛ»;Проведение аудио-визуальных интерактивных лекций-презентаций по военной истории России со студентами средних профессиональных учебных заведений в городах-участниках проекта;Общество «Знание» России;222
Местная общественная организация-Первичная профсоюзная организация студентов Московского Энергетического Института (Технического Университета) региональной общественной организации - Московской городской организации Профсоюза работников народного образования;Живи реальностью!;Российский Союз Молодежи;234
Кемеровское региональное отделение молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Добровольческий студенческий строительный отряд безвозмездного труда  «Красная гвоздика»;Российский Союз Молодежи;239
"Частное Образовательное Учреждение Дополнительного Образования ""Открытый Центр Обучения иРазвития""";Музейно-парковое наследие Санкт-Петербурга и его пригородов как источник творческоговдохновения, профессионализма, патриотизма и любви к российской культуре в дизайн-образовании дляшкольников, студентов и творческой молодежи;Общество «Знание» России;239
Челябинская региональная общественная организация «Центр лидерства «Успех»;Региональный проект «Кадровая биржа успешных студентов – работодателям Челябинской области!»;Российский Союз Молодежи;250
Воронежская Областная Общественная Организация ветеранов боевых действий «Патриот»;"""Скажи своё слово о Родине"" (организация тематических конкурсов среди школьников и студентов, проведение творческих встреч молодежи с авторитетными людьми, разноформатных фестивалей авторской песни).";Национальный благотворительный фонд;276
Некоммерческое партнёрство «Клуб студентов и молодёжи «Первые»;Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Российский Союз Молодежи;276
"Автономная некоммерческая организация ""Центр студенческих инициатив ""Северо-Запад""";Территрия БЕЗопасности;Лига здоровья нации;281
Некоммерческое партнёрство «Клуб студентов и молодёжи «Первые»;Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Общество «Знание» России;287
Оренбургское региональное отделение Молодёжной общероссийской общественной организации «Российские Студенческие Отряды»;Организация и проведение фестиваля-конкурса сотворчества «Мы вместе» для детей-сирот и детей, оставшихся без попечения родителей и участников студенческих отрядов Оренбургской области, посвященного 70-летию Победы в Великой Отечественной Войне;Российский Союз Молодежи;289
Кемеровское региональное отделение молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Школа командного состава студенческих отрядов Кемеровской области;Российский Союз Молодежи;292
"Автономная некоммерческая организация содействия развитию интеллектуального и творческого потенциала талантливой молодежи ""Молодой талант""";"""Информсеть""(программа повышения эффективности деятельности студенческих объединений с помощью внедрения в их работу инструментов традиционных и новых медийных каналов коммуникации)";Институт проблем гражданского общества;292
Некоммерческое партнёрство «Клуб студентов и молодёжи «Первые»;Общероссийский поэтический конкурс «Под крылом Родины»;Общество «Знание» России;295
"Некоммерческая организация ""Фонд развития и поддержки общественных организаций СВАО""";"""Мир Дипломатии - Мир Толерантности и Взаимоуважения"" (издание газеты, привлечение студентов журналистских факультетов к работе по изучению культуры и истории развития дружбы народов России и бывшего СССР).";Национальный благотворительный фонд;298
"Некоммерческая организация ""Фонд содействия развитию культурного многообразия народов""";Центр гармонизации межэтнических отношений. (Минимизация количества конфликтов на межнациональной почве, снижение экстремистских настроений в молодежной среде путем адаптации приезжих студентов к образовательному процессу).;Национальный благотворительный фонд;299
Некоммерческое партнерство «Национальная студенческая футбольная лига»;Первенство Национальной студенческой футбольной лиги;Лига здоровья нации;314
"Региональная спортивная общественная организация ""Федерация практической стрельбы Калужской области""";Подготовка студенчества и допризывной молодежи к сдаче нормативов ГТО и начальная военная подготовка через занятия практической стрельбой;Российский Союз Молодежи;315
"Благотворительный фонд помощи нуждающимся ""ПИОНЕР""";"""Сделаем детство комфортным!"" (оказание помощи и привлечение внимания общества к проблемам детей, находящихся в детских отделениях больниц, от которых с рождения отказались родители, силами студентов и работающей молодежи).";Национальный благотворительный фонд;317
Некоммерческая организация «Ассоциация студенческого баскетбола»;Развитие массового студенческого баскетбола в Российской Федерации в 2014-15 г.г.;Российский Союз Молодежи;334
"Фонд социального развития и охраны здоровья ""ФОКУС-МЕДИА""";Гражданское образование школьников и студентов Северного Кавказа;Институт проблем гражданского общества;340
Общероссийская молодежная общественная организация «Ассоциация студенческих спортивных клубов России»;Развитие массового студенческого спорта в России;Российский Союз Молодежи;341
"Амурская региональная молодежная общественная организация ""Амурский региональный студенческий отряд""";"""Энергия космической стройки""";Российский Союз Молодежи;353
РУБЦОВСКАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ - ОБЩЕСТВА «ЗНАНИЕ» РОССИИ;Военно-спортивные игры молодежи и студентов Алтайского края, как средство улучшения здорового образа жизни и патриотического воспитания населения;Лига здоровья нации;354
"Региональная молодежная организация ""Лига студентов Республики Татарстан""";"""Россия студенческая""";Российский Союз Молодежи;354
Автономная некоммерческая организация «Центр юридической и экономической помощи»;Развитие студенческого добровольческого движения «Студенческое объединение собственников и нанимателей жилья Удмуртской Республики»;Российский Союз Молодежи;356
Фонд поддержки и развития творческих инициатив Сибири;«Эстафета  поколения молодых»: комплексная спортивно-оздоровительная кампания для детей группы риска и студенческой молодежи Новосибирской области;Лига здоровья нации;357
Региональное общественное объединение «Уральский фонд поддержкимолодежных инициатив»;Европейские студенческие инженерные соревнования.Локальный этап.;Российский Союз Молодежи;364
Некоммерческое партнерство «Дети России Образованны и Здоровы – «ДРОЗД»;Межрегиональная спартакиада массового студенческого спорта среди студентов образовательных организаций среднего и высшего профессионального образования;Российский Союз Молодежи;377
Сообщество студенческих журналистских редакций «УниверСити»;Сообщество студенческих журналистских редакций «УниверСити»;Общество «Знание» России;384
Омская  областная  общественная организация  ветеранов боевых действий «Северный Кавказ»;Патриотический марафон «Победа! Молодость! Весна!» для подростков, студентов и молодежи города Омска в рамках празднования 70-ой годовщины Победы в Великой Отечественной войне 1941-1945 годов;Российский Союз Молодежи;390
Негосударственное образовательное учреждение дополнительного образования «Академия лидерства»;Участие студентов в управлении качеством образовательных услуг;Лига здоровья нации;393
Автономная некоммерческая организация содействия профилактике наркомании и алкоголизма «Здоровое поколение»;Всероссийский фестиваль «Неделя студенческого спорта»;Лига здоровья нации;394
Общественная организация «Студенческие строительные отряды Кировской области»;«Мы вместе». (Создание сводного студенческого отряда для совместной работы на строительном объекте, проведение совместных мероприятий, направленных на сплочение и терпимость).;Национальный благотворительный фонд;411
Автономная некоммерческая организация «Институт миграции и межнациональных отношений»;Исследование проблем  адаптации и интеграции мигрантов – представителей школьной и студенческой молодежи в местное сообщество.;Национальный благотворительный фонд;414
Некоммерческий фонд «Поддержки любительского спорта и молодежных инициатив Свердловской области»;Городской футбольный турнир среди студенческих команд «Горный Лев»;Российский Союз Молодежи;428
Первичная профсоюзная организация Нижегородской областной организации профессионального союза работников народного образования и науки Российской Федерации в ННГУ им. Н.И. Лобачевского (студентов);"""Прогрессия""";Общество «Знание» России;446
Региональная общественная организация «Ассоциация средних медицинских работников Свердловской области»;«Мы вместе! Наследники Великой Победы» - Фестиваль национальных культур студентов учреждений среднего профессионального образования УрФО.;Национальный благотворительный фонд;448
"Орловская областная молодежная общественная организация ""Орловская студенческая община""";Центр реабилитации и социального сервиса «Точка опоры» (социальная реабилитация жителей Орловской области, находящихся в конфликте с законом).;Национальный благотворительный фонд;455
Ивановское региональное отделение Общероссийской общественной организации инвалидов Российской ассоциации незрячих студентов и специалистов;Создание центра комплексной, мобильной помощи и поддержки инвалидов по зрению;Институт проблем гражданского общества;458
Общественная организация Первичная профсоюзная организация студентов Омского государственного института сервиса;Создание регионального мультипрофильного туристско-экскурсионного центра для детей и молодёжи;Российский Союз Молодежи;475
Кировская областная общественная организация «Перспектива»;Социальный инкубатор добровольческих практик студентов – наставников, воспитанников интернатных учреждений;Российский Союз Молодежи;477
Межрегиональный общественный фонд выпускников, преподавателей сотрудников и студентов Свердловского юридического института – Уральской государственной юридической академии;Бесплатная юридическая помощь переселенцам с Украины;Институт проблем гражданского общества;480
"Автономная некоммерческая организация ""Московский центр международных образовательных программ и стажировок, трудоустройства, психологической поддержки студентов и выпускников вузов""";Комплекс мероприятий в сфере приобщения студенческой молодежи к спорту и здоровому образу жизни «Спортивный город»;Лига здоровья нации;500
Автономная некоммерческая организация высшего профессионального образования «Институт независимых исследований в области образования»;Реализация студенческих социальных проектов как инструмент развития социальных и проектных компетенций студентов вузов и решения значимых общественных проблем  с участием НКО;Российский Союз Молодежи;508
Автономная некоммерческая организация «Центр развития юридических клиник»;«Развитие добровольчества на базе юридических клиник в вузах Российской Федерации и привитие студенческой молодежи чувства социальной ответственности»;Российский Союз Молодежи;511
Ингушское региональное отделение Молодежной общероссийской общественной организации «Российские студенческие отряды»;Street Workout;Российский Союз Молодежи;512
Региональное общественное объединение «Ассоциация студентов Ингушетии»;«Таргим»;Российский Союз Молодежи;516
"Профсоюзная организация студентов и аспирантов Шуйского филиала федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Ивановский государственный университет"" профсоюза работников народного образования";"Молодежь - наука - инновации!""";Российский Союз Молодежи;517
Ростовское региональное отделение молодежной общероссийской общественной организации «Российские студенческие отряды»;"""Интеротряд"". Межнациональный проект по развитию толерантности в среде студенческой молодежи.";Национальный благотворительный фонд;527
НЕГОСУДАРСТВЕННОЕ ИНФОРМАЦИОННО-КОНСУЛЬТАТИВНОЕ УЧРЕЖДЕНИЕ «ЦЕНТР БЮДЖЕТНОГО МОНИТОРИНГА»;Создание инструментария для профессионального самоопределения школьников старших классов и студентов из малоимущих семей;Российский Союз Молодежи;528
Костромская городская молодежная общественная организация «МЫ»;«Молодежный туристический городок»: сезон массового студенческого спорта.;Российский Союз Молодежи;530
"Межрегиональная Молодёжная Военно-Патриотическая общественная организация Поисковых отрядов ""Возрождение""";"""Нам дороги эти позабыть нельзя"" (комплекс мероприятий патриотической направленности с участием школьников,  и студентов Калужской, Брянской, Тульской, Московской областей, Республик Мордовии, Чувашии).";Национальный благотворительный фонд;531
"Калужская областная общественная организация поисковых отрядов ""Патриотическое объединение ""Память""";"""Великий подвиг народа жив в серцах потомков"" (комплекс мероприятий патриотической направленности с участием  школьников, учащихся и студентов учебных заведений Калужской области).";Национальный благотворительный фонд;537
"Автономная некоммерческая организация ""Центр развития юридических клиник""";Олимпиада для студентов вузов «Практические навыки юриста»;Общество «Знание» России;551
"Автономная некоммерческая организация высшего профессионального образования ""Казанский институт финансов, экономики и информатики""";"Создание студенческого движения ""Общественный контроль ЖКХ""";Российский Союз Молодежи;567
"Первичная организация студентов ОГОБУ ВПО ""Смоленский государственный институт искусств""Смоленской региональной организации Российского профессионального союза работников культуры";"""Дань памяти"": картографическая информационная система поддержки поискового движения на Смоленщине в целях увековечения памяти погибших защитников Отечества и сохранения воинской славы России.";Национальный благотворительный фонд;573
Союз студенческих землячеств;Гармонизация межнациональных отношений - воспитание гражданской идентичности у молодежи.;Национальный благотворительный фонд;578
"Тувинское региональное отделение Молодежной общероссийской общественной организации ""Российские студенческие отряды""";Развитие студенческих отрядов в Туве;Российский Союз Молодежи;583
Общероссийская общественная организация «Российский студенческий союз – за права студентов и аспирантов»;Мониторинг и защита прав обучающихся реорганизуемых вузов и филиалов;Российский Союз Молодежи;594
Некоммерческое партнерство «Сибирское методологическое агентство развития территорий – Концепт»;Активный спорт Сибири: развитие лидерства и спортивного волонтёрства среди студентов через экстремальные виды спорта.;Российский Союз Молодежи;595
"АНО ""Самарский Губернский студенческий хор ""София""";организация и проведение концертов духовно-патриотической музыки в самарской области;Российский Союз Молодежи;601
Автономная некоммерческая организация Высшего Профессионального Образования «Православный Институт святого Иоанна Богослова»;Формирование ценности семьи у студенческой молодежи;Лига здоровья нации;616
"НАУЧНО-ОБРАЗОВАТЕЛЬНЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИНТЕЛЛЕКТУАЛЬНЫЙАЛЬЯНС""";Обучение преподавателей ссузов методикам проектного обучения и трудового воспитания студента –гражданина;Общество «Знание» России;619
"Региональная общественная организация ""Федерация парусного спорта Самарской области""";Развитие парусного спорта в Самарской области среди студентов;Лига здоровья нации;620
Общероссийская общественная организация  «ВСЕРОССИЙСКИЙ СТУДЕНЧЕСКИЙ СОЮЗ»;Саммит студенческих лидеров стран ШОС;Российский Союз Молодежи;627
Ярославская областная молодёжная общественная организация «Союз студентов»;Комплексная программа развития студенческого футбола и мини-футбола – «Студенческая мини-футбольная лига»;Российский Союз Молодежи;639
"Благотворительный фонд ""Абсолют-Помощь""";Конкурс  на выделение пожертвования  на реализацию социально-значимого проекта  среди  студентов  образовательных учреждений высшего и среднего профессионального образования Московской области;Российский Союз Молодежи;644
Ростовское областное отделение Всероссийской Молодежной Общественной Организации «Российский Союз Студенческих Организаций»;Проект по развитию студенческих объединений  «Я – лидер!»»;Российский Союз Молодежи;680
Автономная некоммерческая организация «Ассоциация студенческих педагогических отрядов»;«Поступай правильно!»;Общество «Знание» России;680
Региональная общественная организация «Санкт-Петербургская федерация дебатов»;Общегородское студенческое образовательно-информационное радио «МегаБайт»;Российский Союз Молодежи;702
НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ВЫПУСКНИКОВ, ПРЕПОДАВАТЕЛЕЙ, СОТРУДНИКОВ И ДРУЗЕЙ УХТИНСКОГО ГОСУДАРТСВЕННОГО ТЕХНИЧЕСКОГО УНИВЕРСИТЕТА «АЛЬМА МАТЕР - УГТУ»;Реализация информационных систем «База данных научно-инновационных разработок молодых ученых и специалистов»  и  «Кадровая политика профильных предприятий страны и мира для вузов, молодых ученых и специалистов, студентов» в рамках реализации Международного информационного проекта отраслевого медиа сотрудничества вузов и компаний профильных отраслей промышленности «UTime News – Время университетов»;Российский Союз Молодежи;705
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СТУДЕНЧЕСКИЙ СПОРТИВНЫЙ СОЮЗ ТВЕРСКОЙ ОБЛАСТИ ""БУРЕВЕСТНИК""";Развитие студенческого спорта Тверской области;Российский Союз Молодежи;711
"Общероссийская молодежная общественная организация ""Ассоциация почетных граждан, наставников и талантливой молодежи""";"Общероссийский проект для школьников и студентов «Игры лидеров бизнеса XXI века "" - социальный проект, направленный на формирование у молодежи навыка решения практических бизнес-задач, Игры  лидеров  бизнеса  XXI  века";Российский Союз Молодежи;726
Некоммерческая организация«Ассоциация студенческого баскетбола»;Развитие массового студенческого баскетбола в Российской Федерации в 2014-15 г.г.;Лига здоровья нации;729
Псковское региональное молодежное общественное движение «Союз студенческих отрядов»;Мой двор – территория здорового образа жизни детей и молодежи;Лига здоровья нации;735
Тейковская районная общественная организация Всероссийского общества  инвалидов;Разработка и внедрение информационно-аналитической системы оценки и коррекции физического состояния студентов;Лига здоровья нации;818
Региональная общественная организация «Федерация спортивного ориентирования Ульяновской области»;Разработка оздоровительной технологии физической подготовки студентов специальной медицинской группы на основе индивидуально-типологического подхода;Лига здоровья нации;820
"Всероссийская молодежная общественная организация ""Российский союз студенческих организаций""";Здоровые дети-здоровая нация;Лига здоровья нации;876
Первичная организация профессионального союза работников агропромышленного комплекса Российской Федерации ФГБОУ ВПО «Алтайский государственный аграрный университет» (студентов) г. Барнаул;Всероссийский слет студенческих специализированных отрядов аграрных вузов;Российский Союз Молодежи;11
Ассоциация профсоюзных организаций студентов образовательных учреждений высшего профессионального образования Свердловской области;"Российский фестиваль студенческих театров ""Театральные встречи-2014""";Институт проблем гражданского общества;23
"Амурский региональный общественный фонд ""Медицинское содействие""";Per aspera ad astra. От успешного студента к востребованному специалисту;Институт проблем гражданского общества;27
Некоммерческая организация «Союз студенческих землячеств»;Формирование гражданской идентичности у молодежи – залог будущего России;Российский Союз Молодежи;32
Санкт-Петербургская региональная общественная студенческая физкультурно-спортивная организация «Буревестник»;Студенческая футбольная лига Санкт-Петербурга;Лига здоровья нации;35
"Автономная некоммерческая  организация ""Международный центр народной дипломатии и правам человека».";Профилактика конфликтов в студенческой среде Республики Дагестан, Краснодарского и Ставропольского краев: новые подходы».;Институт социально-экономических и политических исследований;44
Астраханская областная общественная организация по патриотическому, правовому и физическому развитию молодежи;"""Растим патриотов России"" (участие школьников и студентов Астраханской области в экспедициях по поиску и перезахоронению без вести пропавших воинов, погибших в годы Великой Отечественной войны).";Национальный благотворительный фонд;45
"Национальный благотворительный Фонд поддержки работ по адаптации городской среды для маломобильных групп населения ""Город без барьеров""";Научно - просветительская программа содействия развитию образовательных процессов и осуществлению научных разработок молодежи: Общероссийский конкурс студенческих работ в области Универсального дизайна и создания без барьерной городской среды для маломобильных групп населения.;Российский Союз Молодежи;50
"Тверская региональная общественная организация по поддержке студентов, детей и молодежи ""Содействие детскому отдыху""";"II Открытый детский международный фестиваль ""Русский язык и современные коммуникации""";Институт проблем гражданского общества;57
Мурманское региональное отраслевое объединение работодателей Союзжилищно-коммунальных предприятий Мурманской области;Обучение и просвещение населения, учащихся школ и студентов профильных учебных заведений экономному использованию энергетических ресурсов, а также переподготовка муниципальных и государственных служащих по вопросам жилищно-коммунального хозяйства на базе действующих демонстрационных моделей;Общество «Знание» России;57
"Иркутская областная общественная организация ""Байкальский студенческий строительный отряд""";Учебный центр студенческих отрядов;Российский Союз Молодежи;90
"Автономная некоммерческая организация высшего профессионального образования ""межрегиональный открытый социальный институт""";«Укрощение льва» (обучение студентов английскому языку при помощи веб-сервиса LinguaLeo;Российский Союз Молодежи;96
Местная общественная организация «Совет молодежи предприятий и организаций г. Набережные Челны»;Городской конкурс-презентация среди учащихся школ, студентов и работающей молодежи  «Мир заводских профессий»;Российский Союз Молодежи;100
Некоммерческое партнерство «Ассоциация преподавателей по связям с общественностью»;«Формирование гражданственности у студентов: исследование, разработка и апробация методических рекомендаций для вузов»;Институт социально-экономических и политических исследований;112
Автономная некоммерческая организация «Центр гражданской инициативы «Третий сектор»;Возрождение традиций слетов студенческой молодежи в ВУЗах ЦФО;Российский Союз Молодежи;113
"Ульяновская общественная организация ""Социальная инициатива ""Соцарт""";Профессиональные выборы и трудовые стратегии студентов-мигрантов из стран СНГ, Грузии и Балтии;Институт социально-экономических и политических исследований;128
Некоммерческая организация «Фонд поддержки вузовского образования и науки выпускников-губкинцев»;Создание студенческого спортивного комплекса в Коньково - результат комплексного подхода к формированию общественного пространства города;Лига здоровья нации;135
"Автономная некоммерческая организация ""Московский центр международных образовательных программ и стажировок, трудоустройства, психологической поддержки студентов и выпускников вузов""";Комплекс конкурсных мероприятий в сфере развития органов студенческого самоуправления учреждений высшего и среднего профессионального образования «Студенческая Россия»;Российский Союз Молодежи;136
Автономная некоммерческая организация «Корпорация радио»;Конкурс студенческих редакций «УниверСити»;Российский Союз Молодежи;145
"Общероссийская общественная организация ""Российский студенческий союз-за права студентов и аспирантов""";Мониторинг, анализ и защита прав обучающихся реорганизуемых ВУЗов и филиалов;Российский Союз Молодежи;147
"Иркутская областная общественная организация ""Байкальский студенческий строительный отряд""";Экология от поколения к поколению;Лига здоровья нации;157
