name;type;reg;god
Первичная профсоюзная организация студентов Башкирского государственного педагогического университета им. М. Акмуллы Профсоюза работников образования и науки Российской Федерации;Профессиональный союз;Республика Башкортостан;2003
Первичная профсоюзная организация студентов Башкирского государственного университета Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Башкортостан;2003
"Первичная профсоюзная организация студентов Башкирского института социальных технологий (филиала) ОУП ""Академия труда и социальных отношений"" Профсоюза работников народного образования и науки Российской Федерации";Профессиональный союз;Республика Башкортостан;2008
Первичная профсоюзная организация студентов Башкирского медицинского колледжа Профсоюза работников здравоохранения РФ;Профессиональный союз;Республика Башкортостан;2012
Первичная профсоюзная организация студентов БГМУ Республиканской организации Башкортостана Профсоюза работников здравоохранения РФ;Профессиональный союз;Республика Башкортостан;2002
Первичная профсоюзная организация студентов Белорецкого педагогического колледжа Республики Башкортостан Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Башкортостан;2003
Первичная профсоюзная организация студентов Бирской государственной социально-педагогической академии Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Башкортостан;2003
Первичная профсоюзная организация студентов Благовещенского государственного педагогического университета профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Амурская область;2005
Первичная профсоюзная организация студентов Благовещенского педагогического колледжа РБ Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Башкортостан;2003
Первичная профсоюзная организация студентов Брянского государственного технического университета профсоюза работников народного образования и науки РФ.;Профессиональный союз;Брянская область;
Первичная профсоюзная организация студентов Брянского государственного университета имени академика И.Г. Петровского профсоюза работников народного образования и науки Российской Федерации.;Профессиональный союз;Брянская область;2002
Первичная профсоюзная организация студентов Брянской государственной сельскохозяйственной академии профсоюза работников агропромышленного комплекса РФ.;Профессиональный союз;Брянская область;2002
Первичная профсоюзная организация студентов Бузулукского педагогического колледжа Оренбургской областной общественной организации Профсоюза работников народного образования и науки РФ;Профессиональный союз;Оренбургская область;2003
Первичная профсоюзная организация студентов Буйнакского педагогического колледжа;Профессиональный союз;Республика Дагестан;2004
Первичная профсоюзная организация студентов Бурятского государственного университета Бурятской республиканской организации Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Бурятия;2002
Первичная профсоюзная организация студентов в Выборгского педагогического училища профсоюза работников народного образования и науки РФ;Профессиональный союз;Ленинградская область;
Первичная профсоюзная организация студентов Волгоградского государственного колледжа управления и новых технологий Волгоградской областной организации профессионального союза работников автомобильного и сельскохозяйственного машиностроения РФ;Профессиональный союз;Волгоградская область;2002
Первичная профсоюзная организация студентов Волгоградского государственного социально-педагогического университета профсоюза работников народного образования и науки РФ;Профессиональный союз;Волгоградская область;2002
Первичная профсоюзная организация студентов Волгоградского государственного технического университета профсоюза работников народного образования и науки РФ;Профессиональный союз;Волгоградская область;2002
"Первичная профсоюзная организация студентов Волгоградской академии государственной службы Волгоградской областной организации общественной общероссийской организации ""Профессиональный союз работников государственных учреждений и общественного обслуживания РФ""";Профессиональный союз;Волгоградская область;
Первичная профсоюзная организация студентов Волжского политехнического института (филиала) Волгоградского государственного технического университета Волгоградской областной организации профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Волгоградская область;
Первичная профсоюзная организация студентов Волжской государственной академии водного транспорта Волжского бассейнового комитета Профсоюза работников водного транспорта;Профессиональный союз;Нижегородская область;2002
"Первичная профсоюзная организация студентов Воронежского авиационного техникума им. В.П. Чкалова территориального объединения организаций профсоюзов Воронежской области ""Воронежский областной совет профсоюзов""";Профессиональный союз;Воронежская область;2002
Первичная профсоюзная организация студентов Воронежского государственного педагогического университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Воронежская область;2002
Первичная профсоюзная организация студентов Воронежской государственной академии искусств Воронежской областной профсоюзной организации Российского профессионального союза работников культуры;Профессиональный союз;Воронежская область;2006
Первичная профсоюзная организация студентов Воронежской государственной лесотехнической академии профессионального союза работников народного образования и науки Российской Федерации;Профессиональный союз;Воронежская область;1999
Первичная профсоюзная организация студентов Восточно-Сибирского государственного университета технологий и управления Бурятской республиканской организации профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Бурятия;2002
Первичная профсоюзная организация студентов ВятГУ Кировской областной территориальной организации профсоюза работников народного образования и науки РФ;Профессиональный союз;Кировская область;2002
Первичная профсоюзная организация студентов Вятского государственного гуманитарного университета Кировской областной территориальной организации Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Кировская область;2002
"Первичная профсоюзная организация студентов Вятской государственной сельскохозяйственной академии Кировской территориальной (областной) организации общероссийского общественного объединения ""Профессиональный союз работников агропромышленного комплекса Российской Федерации""";Профессиональный союз;Кировская область;2002
Первичная профсоюзная организация студентов Гатчинского высшего педагогического училища (колледжа) профсоюза работников народного образования и науки РФ;Профессиональный союз;Ленинградская область;
Первичная профсоюзная организация студентов Горского государственного аграрного университета Общероссийского общественного объединения Профессионального союза работников агропромышленного комплекса Российской Федерации;Профессиональный союз;Республика Северная Осетия - Алания;2007
Первичная профсоюзная организация студентов Государственного автономного образовательного учреждения среднего профессионального образования Стерлитамакский колледж строительства, экономики и права Республиканской организации Башкортостана Про-фессионального союза работ-ников строительства и про-мышленности строительных материалов Российской Федерации;Профессиональный союз;Республика Башкортостан;2003
"Первичная профсоюзная организация студентов государственного бюджетного образовательного учреждения среднего профессионального образования ""Михайловский профессионально педагогический колледж"" Профсоюза работников образования и науки РФ общественная организация";Профессиональный союз;Волгоградская область;2003
"Первичная профсоюзная организация студентов Государственного бюджетного учреждения высшего профессионального образования ""Ставропольский государственный медицинский университет"" Министермства здравоохранения Российской Федерации";Профессиональный союз;Ставропольский край;2002
"Первичная профсоюзная организация студентов Государственного образовательного учреждения высшего профессионального образования ""Костромской государственный технологический университет""";Профессиональный союз;Костромская область;2002
"Первичная профсоюзная организация студентов Государственного образовательного учреждения высшего профессионального образования ""Майкопский государственный технологический университете"".";Профессиональный союз;Республика Адыгея (Адыгея);2008
"Первичная профсоюзная организация студентов Государственного образовательного учреждения высшего профессионального образования ""Ростовского Государственного Медицинского университета Федерации агентства по здравоохранению и социальному развитию""";Профессиональный союз;Ростовская область;
"Первичная профсоюзная организация студентов Государственного образовательного учреждения высшего профессионального образования ""Рязанский государственный радиотехнический университет"" Профсоюза работников народного образования и науки Российской Федерации";Профессиональный союз;Рязанская область;2003
"Первичная профсоюзная организация студентов Государственного образовательного учреждения высшего профессионального образования ""Саратовский государственный технический университет"" Профессионального союза работников народного образования и науки Российской Федерации";Профессиональный союз;Саратовская область;2002
"Первичная профсоюзная организация студентов Государственного образовательного учреждения высшего профессионального образования ""Саратовский государственный университет имени Н.Г. Чернышевского"" Профессионального союза работников народного образования и науки Российской Федерации";Профессиональный союз;Саратовская область;2002
Первичная профсоюзная организация студентов Государственного Образовательного учреждения Екатеринбургского механико-технологического колледжа профсоюза работников агропромышленного комплекса;Профессиональный союз;Свердловская область;
"Первичная профсоюзная организация студентов Государственного образовательного учреждения среднего профессионального образования ""Волгоградский педагогический колледж"" профсоюза работников образования и науки РФ";Профессиональный союз;Волгоградская область;2003
"Первичная профсоюзная организация студентов Государственного образовательного учреждения среднего профессионального образования ""Екатеринбургский экономико-технологический колледж"" профсоюза работников агропромышленного комплекса";Профессиональный союз;Свердловская область;
"Первичная профсоюзная организация студентов государственного образовательного учреждения среднего профессионального образования ""Касимовский индустриальный техникум"" Рязанской областной организации профессионального союза машиностроителей Российской Федерации";Профессиональный союз;Рязанская область;2003
Первичная профсоюзная организация студентов государственного образовательного учреждения среднего профессионального образования «Саранский государственный промышленно-экономический колледж»;Профессиональный союз;Республика Мордовия;2002
"Первичная профсоюзная организация студентов Государственного образовательного учреждения среднего специального образования Ростовской области ""Ростовский базовый медицинский колледж"" Ростовской областной организации Профсоюза работников здравоохранения РФ";Профессиональный союз;Ростовская область;2002
"Первичная профсоюзная организация студентов Государственного образовательного учреждения ""Чебоксарский медицинский колледж"" Министерства здравоохранения и социального развития Чувашской Республики профсоюза работников здравоохранения Российской Федерации";Профессиональный союз;Чувашская Республика;2002
Первичная профсоюзная организация студентов Государственного университета;Профессиональный союз;Москва;
Первичная профсоюзная организация студентов ГОУ ВПО Иркутского государственного лингвистического университета;Профессиональный союз;Иркутская область;2002
Первичная профсоюзная организация студентов Дмитриевского сельскохозяйственного техникума Дмитриевской территориальной (районной) профсоюзной организации профессионального союза работников агропромышленного комплекса Российской Федерации;Профессиональный союз;Курская область;2002
Первичная профсоюзная организация студентов Дмитровского рыбопромышленного техникума профсоюза работников рыбного хозяйства;Профессиональный союз;Московская область;
"""Первичная профсоюзная организация студентов Донского Государственного аграрного универститета Ростовской облатсной организации Профсоюза работников агропромышленного комплекса Российской Федерации""";Профессиональный союз;Ростовская область;2002
Первичная профсоюзная организация студентов Забайкальского государственного университета;Профессиональный союз;Забайкальский край;2002
Первичная профсоюзная организация студентов Златоустовского педагогического колледжа Общероссийского профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Челябинская область;2003
Первичная профсоюзная организация студентов и аспирантов Башкирского государственного аграрного университета Башкирской республиканской организации Профсоюза работников агропромышленного комплекса РФ;Профессиональный союз;Республика Башкортостан;2002
Первичная профсоюзная организация студентов и аспирантов в федеральном государственном бюджетном образовательном учреждении высшего профессионального образования Мордовский государственный университет им. Н.П. Огарева;Профессиональный союз;Республика Мордовия;2002
Первичная профсоюзная организация студентов и аспирантов Глазовского государственного педагогического института им. Короленко;Профессиональный союз;Удмуртская Республика;2003
Первичная профсоюзная организация студентов и аспирантов Горно-Алтайского государственного университета;Профессиональный союз;Республика Алтай;2003
Первичная профсоюзная организация студентов и аспирантов Ивановского государственного энергетического университета профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Ивановская область;2002
Первичная профсоюзная организация студентов и аспирантов Казанского государственного энергетического университета татарской республиканской организации, общественной организации - Профсоюз работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Татарстан (Татарстан);2008
Первичная профсоюзная организация студентов и аспирантов Ковровской государственной технологической академии имени В.А. Дегтярева Общероссийского Профсоюза образования;Профессиональный союз;Владимирская область;2002
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета Общероссийского профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Челябинская область;2003
Первичная профсоюзная организация студентов и аспирантов Магнитогорского Государственного университета Минобразования России общероссийского профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Челябинская область;2002
Первичная профсоюзная организация студентов и аспирантов Московской Государственной Академии водного транспорта - территориальная проф.организация раб;Профессиональный союз;Москва;
Первичная профсоюзная организация студентов и аспирантов Московской Государственной Академии водного транспорта - Территориальной проф.организации раб;Профессиональный союз;Москва;
"Первичная профсоюзная организация студентов и аспирантов Набережночелнинского института (филиала) федерального государственного автономного образовательного учреждения высшего профессионального образования ""Казанский (Приволжский) федеральный университет"" Татарской республиканской организации, общественной организации - Профсоюз работников народного образования и науки Российской Федерации";Профессиональный союз;Республика Татарстан (Татарстан);2006
Первичная профсоюзная организация студентов и аспирантов Новомосковского института РХТУ им. Д.И. Менделеева Тульской области Профессионального союза работников народного образования и науки Российской Федерации;Профессиональный союз;Тульская область;2002
Первичная профсоюзная организация студентов и аспирантов Пензенского государственного университета архитектуры и строительства;Профессиональный союз;Пензенская область;2002
Первичная профсоюзная организация студентов и аспирантов Петербургского государственного университета Аэрокосмического Приборостроения профсоюза работников народного образования и науки РФ;Профессиональный союз;Санкт-Петербург;
Первичная профсоюзная организация студентов и аспирантов Российского государственного гуманитарного университета;Профессиональный союз;Москва;
Первичная профсоюзная организация студентов и аспирантов Санкт-Петербургского политехнического университета Петра Великого профессионального союза работников народного образования и науки РФ;Профессиональный союз;Санкт-Петербург;2002
Первичная профсоюзная организация студентов и аспирантов Санкт-Петербургской государственной Лесотехнической академии профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Санкт-Петербург;
"Первичная профсоюзная организация студентов и аспирантов Санкт-Петербурского государственного электротехнического университета ""ЛЭТИ"" им. В.И.Ульянова (Ленина) профсоюза работников народного образования и науки Российской Федерации (1 наименование:Общественное объединение территориальная профсоюзная организация студентов и аспирантов Санкт-Петербурского государственного электротехнического университета ""ЛЭТИ"")";Профессиональный союз;Санкт-Петербург;2003
Первичная профсоюзная организация студентов и аспирантов Тольяттинского Государственного Университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Самарская область;
Первичная профсоюзная организация студентов и аспирантов Томского политехнического университета Томской территориальной организации профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Томская область;2002
Первичная профсоюзная организация студентов и аспирантов Тульского государственного университета (ТулГУ) Профессионального союза работников народного образования и науки Российской Федерации;Профессиональный союз;Тульская область;2002
Первичная профсоюзная организация студентов и аспирантов Университета ИТМО;Профессиональный союз;Санкт-Петербург;2002
Первичная профсоюзная организация студентов и аспирантов Уральского государственного лесотехнического университета Профсоюза работников народного образхования и науки Российской Федерации;Профессиональный союз;Свердловская область;2003
"Первичная профсоюзная организация студентов и аспирантов ФГБОУ ВПО ""Алтайская государственная педагогическая академия"" Профсоюза работников народного образования и науки Российской Федерации";Профессиональный союз;Алтайский край;2013
Первичная профсоюзная организация студентов и аспирантов Федерального государственного автономного образовательного учреждения высшего профессионального образования Российский государственный профессионально-педагогический университет Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Свердловская область;
"Первичная профсоюзная организация студентов и аспирантов федерального государственного автономного образовательного учреждения высшего профессионального образования ""Северо-Кавказский федеральный университет""";Профессиональный союз;Ставропольский край;2002
"Первичная профсоюзная организация студентов и аспирантов федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Пятигорский государственный лингвистический университет""";Профессиональный союз;Ставропольский край;2003
Первичная профсоюзная организация студентов и аспирантов федерального государственного бюджетного образовательного учреждения высшего профессионального образования Югорский государственный университет;Профессиональный союз;Ханты-Мансийский автономный округ – Югра;2013
"Первичная профсоюзная организация студентов и аспирантов Федерального государственного образовательного учреждения высшего профессионального образования ""Ульяновская государственная сельскохозяйственная академия"" Ульяновской территориальной организации профсоюза работников агропромышленного комплекса Российской Федерации";Профессиональный союз;Ульяновская область;2008
Первичная профсоюзная организация студентов и аспирантов Челябинского государственного педагогического университета Общероссийского профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Челябинская область;2006
"Первичная профсоюзная организация студентов и аспирантов Шуйского филиала федерального государственного бюджетного образовательного учреждения высшего профессионального образования "" Ивановский государственный университет"" Профсоюза работников народного образования и науки Российской Федерации";Профессиональный союз;Ивановская область;2002
Первичная профсоюзная организация студентов и курсантов Дальневосточного государственного технического рыбохозяйственного университета;Профессиональный союз;Приморский край;2007
Первичная профсоюзная организация студентов и курсантов Санкт-Петербургского государственного университета морского и речного флота имени адмирала С.О. Макарова;Профессиональный союз;Санкт-Петербург;
"Первичная профсоюзная организация студентов и сотрудников федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Костромская государственная сельскохозяйственная академия""";Профессиональный союз;Костромская область;2006
Первичная профсоюзная организация студентов Избербашского педагогического колледжа;Профессиональный союз;Республика Дагестан;2002
Первичная профсоюзная организация студентов Института (филиала) Московской государственной юридической академии имени О.Е. Кутафина в г. Кирове Кировской областной территориальной организации Профсоюза работников народного образования и науки РФ;Профессиональный союз;Кировская область;2002
Первичная профсоюзная организация студентов Иркутского государственного технического университета;Профессиональный союз;Иркутская область;2002
Первичная профсоюзная организация студентов Иркутского государственного университета Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Иркутская область;2002
Первичная профсоюзная организация студентов Иркутской государственной сельскохозяйственной академии;Профессиональный союз;Иркутская область;2003
Первичная профсоюзная организация студентов Ишимского государственного педагогического института им П.П. Ершова;Профессиональный союз;Тюменская область;2009
Первичная профсоюзная организация студентов Калмыцкого государственного университета;Профессиональный союз;Республика Калмыкия;2003
Первичная профсоюзная организация студентов Калужского государственного педагогического университета (КГПУ) им. К.Э. Циолковского Калужской областной организации профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Калужская область;2002
Первичная профсоюзная организация студентов Калужского музыкального училища им. С.И. Танеева Российского профессионального союза работников культуры;Профессиональный союз;Калужская область;2002
Первичная профсоюзная организация студентов Калужского филиала Московского государственного технического университета (КФ МГТУ) им. Н.Э. Баумана Калужской областной организации профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Калужская область;2002
